ticker,RS,close,volume,atr_10,distance,atr_14,atr_14_pct,avg_value_10
SQM,92,82.12,1540600,4.191,1.75,3.807,4.872,138.53
ZYME,92,26.32,532500,1.117,0.748,1.143,4.603,16.488
GILT,92,17.71,547300,1.281,0.872,1.156,6.927,11.725
ASTS,92,94.9,11787600,8.59,6.763,8.412,9.423,1216.898
LXU,92,14.02,1263400,1.021,0.996,0.976,6.838,30.621
OMER,92,11.49,966900,0.832,0.656,0.698,6.302,18.308
ANDE,92,74.52,267100,2.457,0.753,2.466,3.508,22.877
PDS,92,92.22,87000,4.086,2.952,3.674,3.888,12.594
BTE,91,4.12,11206700,0.234,0.169,0.199,4.803,110.509
CALY,91,14.1,1532700,0.547,0.212,0.596,4.319,30.507
SDRL,91,47.52,573400,1.849,1.015,1.824,4.086,34.421
PAAS,91,57.64,2865900,2.593,2.384,2.986,5.394,288.678
SU,91,64.43,3842000,2.362,1.389,2.041,3.236,340.188
PRM,91,25.48,867800,1.157,0.921,1.057,4.483,28.427
RCUS,91,22.34,590600,1.192,0.681,1.226,5.62,21.345
HAFN,91,8.08,1688500,0.285,0.179,0.286,3.804,13.8
IMO,91,129.18,382000,4.675,0.97,4.266,3.378,97.388
PR,91,20.66,10213700,0.813,0.396,0.718,3.563,289.814
WDS,91,23.68,633100,0.843,0.458,0.789,3.401,38.422
TNK,91,73.96,506700,3.431,0.688,3.342,4.622,35.473
BBIO,91,74.59,1075900,2.709,1.962,2.935,4.131,114.269
OLPX,91,2.02,4635800,0.013,0.004,0.079,5.566,12.607
OCGN,90,1.76,6477000,0.118,0.006,0.171,8.883,10.502
DELL,90,177.8,4276500,8.261,5.618,8.176,5.084,1245.605
ALLO,90,2.72,8116200,0.226,0.209,0.23,9.604,12.954
OII,90,36.2,551400,1.67,0.279,1.646,4.662,36.305
MRNA,90,50.96,6274800,2.722,1.186,2.915,5.771,285.656
PGEN,90,4.16,2824500,0.355,0.248,0.325,8.766,25.537
STNG,90,74.51,1177700,2.898,0.936,3.067,4.196,93.479
TTE,90,92.65,3797800,2.651,0.931,2.312,2.644,235.65
NMM,90,69.17,153200,2.74,0.687,2.748,4.105,11.649
SION,90,37.89,223100,2.887,0.609,2.795,7.473,14.669
VLO,90,238.82,2891900,10.945,8.755,9.892,4.194,891.735
