ticker,RS,close,volume,ma10,ma20,ma50,ma200,high10,high20,high50,52wH,atr_20,atr_20_pct,avg_value_10
ASM,99,10.38,9017100,9.863,8.24,6.845,4.647,11.99,11.99,11.99,11.99,0.775,7.463,127.395
WDC,99,269.41,14759700,261.141,237.453,198.35,113.854,296.5,296.5,296.5,296.5,18.498,6.866,3485.287
RAPT,99,57.78,6395100,57.667,47.978,39.272,21.253,57.86,57.86,57.86,57.86,1.954,3.382,191.109
HBM,98,25.55,8397100,25.433,24.017,20.652,13.927,28.74,28.74,28.74,28.74,1.268,4.965,207.837
STX,98,418.63,6588100,401.59,359.08,312.15,205.457,459.41,459.41,459.41,459.41,25.687,6.136,2926.801
ERO,97,35.24,2182300,34.656,32.343,28.529,19.498,39.799,39.799,39.799,39.799,1.918,5.442,101.774
NXT,95,116.72,2408300,113.368,104.426,95.32,74.404,131.585,131.585,131.585,131.585,6.663,5.709,329.237
INTC,95,48.6,128343000,47.638,47.192,41.882,30.255,54.6,54.6,54.6,54.6,2.919,6.006,7528.705
SCCO,95,195.97,4912500,194.46,184.931,159.045,118.409,218.81,218.81,218.81,218.81,9.367,4.78,651.389
ENS,94,185.03,943100,181.166,172.335,157.073,115.331,194.77,194.77,194.77,194.77,5.332,2.882,101.754
MT,93,55.98,2469500,55.177,51.806,47.402,37.265,57.66,57.66,57.66,57.66,1.444,2.579,116.479
LBRT,92,24.11,15812200,23.366,21.646,19.78,14.469,27.21,27.21,27.21,27.21,1.357,5.629,160.271
ATI,92,127.5,3499400,123.552,123.303,114.046,89.414,137.0,137.0,137.0,137.0,4.194,3.289,287.75
FTI,91,56.54,5130300,55.572,53.388,48.656,38.917,57.64,57.64,57.64,57.64,1.462,2.586,200.251
BAP,91,363.63,407000,357.731,335.638,300.03,252.847,380.2,380.2,380.2,380.2,8.849,2.433,241.196
EL,89,119.61,5169000,116.976,115.368,107.937,88.981,121.64,121.64,121.64,121.64,3.366,2.814,413.19
TECK,88,55.9,5551600,55.406,53.066,48.234,40.587,60.71,60.71,60.71,60.71,2.352,4.208,323.82
WCC,88,301.37,1139500,292.701,284.059,269.885,219.58,316.5,316.5,316.5,316.5,9.192,3.05,143.048
MPWR,88,1136.83,1262700,1124.8,1060.566,989.428,851.44,1226.3,1226.3,1226.3,1226.3,47.879,4.212,825.714
HAL,87,34.34,17456100,33.74,33.045,29.977,24.383,35.55,35.55,35.55,35.55,1.112,3.237,509.627
NVT,87,116.69,3356300,113.954,110.737,107.017,89.532,120.85,120.85,120.85,120.85,4.25,3.642,237.904
SU,85,53.14,8762800,52.286,50.18,46.467,41.029,55.3,55.3,55.3,55.3,1.276,2.401,279.056
BG,85,117.23,2943300,114.872,109.332,99.323,86.982,121.64,121.64,121.64,121.64,3.153,2.69,202.656
MCHP,85,78.23,14563800,76.866,75.601,68.055,64.433,81.43,81.43,81.43,81.43,2.907,3.716,790.133
ROK,85,429.84,1467400,423.589,418.429,406.098,351.74,438.72,438.72,438.72,438.72,9.444,2.197,321.555
MNST,84,81.44,11262900,81.169,79.73,76.995,67.181,83.24,83.24,83.24,83.24,1.503,1.845,549.091
ON,83,62.06,14993500,61.885,61.317,56.98,51.417,66.86,66.86,66.86,66.86,2.55,4.108,599.305
KEYS,82,221.6,1833300,219.186,215.147,208.043,175.739,232.92,232.92,232.92,232.92,5.872,2.65,252.85
RBC,81,516.78,346300,507.871,499.087,469.335,405.368,522.07,522.07,522.07,522.07,11.081,2.144,108.364
