ticker,RS,close,volume,ma10,ma20,ma50,ma200,high10,high20,high50,52wH,atr_14,atr_14_pct,avg_value_10
BE,99,147.35,17346500,152.809,144.654,116.212,69.299,176.49,176.49,176.49,176.49,14.228,9.656,1691.288
WDC,99,269.41,14759700,261.141,237.453,198.35,113.854,296.5,296.5,296.5,296.5,20.891,7.754,3485.287
BNAI,99,22.27,1037900,34.851,19.965,9.633,5.132,86.28,86.28,86.28,86.28,9.768,43.859,281.371
AG,98,22.43,33633700,23.821,21.968,18.248,11.548,27.9,27.9,27.9,27.9,1.808,8.059,821.804
IBRX,98,5.88,21379600,6.26,5.033,3.311,2.741,8.28,8.28,8.28,8.28,0.668,11.365,229.633
FLNC,98,28.99,10237200,29.521,26.717,23.071,12.918,33.51,33.51,33.51,33.51,2.781,9.594,180.307
TTMI,98,96.22,3634000,98.101,92.959,79.333,53.44,111.0,111.0,111.0,111.0,7.117,7.397,440.551
HBM,98,25.55,8397100,25.433,24.017,20.652,13.927,28.74,28.74,28.74,28.74,1.428,5.591,207.837
ERO,97,35.24,2182300,34.656,32.343,28.529,19.498,39.799,39.799,39.799,39.799,2.132,6.049,101.774
IAG,97,19.2,11586900,20.136,18.973,17.093,11.189,22.43,22.43,22.43,22.43,1.234,6.427,218.386
VSCO,97,60.88,1569000,58.195,60.32,54.069,31.717,65.99,66.889,66.889,66.889,3.183,5.228,119.886
MKSI,96,220.0,2358800,228.685,212.264,181.382,126.269,246.35,246.35,246.35,246.35,11.162,5.074,470.881
AU,96,100.87,4089800,103.891,100.725,91.51,65.076,115.81,115.81,115.81,115.81,6.219,6.165,430.397
COHR,96,211.0,13293800,212.322,200.364,187.277,121.303,241.5,241.5,241.5,241.5,16.986,8.05,1166.208
CENX,96,47.53,2304900,47.856,47.164,39.177,26.829,52.0,52.0,52.0,52.0,3.053,6.423,110.285
NXT,95,116.72,2408300,113.368,104.426,95.32,74.404,131.585,131.585,131.585,131.585,7.195,6.164,329.237
TEVA,95,34.96,11936700,33.523,32.846,30.692,21.354,37.35,37.35,37.35,37.35,1.127,3.223,492.402
INTC,95,48.6,128343000,47.638,47.192,41.882,30.255,54.6,54.6,54.6,54.6,3.15,6.481,7528.705
GFI,95,52.54,4342000,54.178,51.504,46.692,34.776,61.64,61.64,61.64,61.64,3.489,6.641,265.073
EQX,95,15.24,14491100,15.721,15.171,14.45,9.901,17.4,17.4,17.4,17.4,0.981,6.434,201.732
IONS,95,84.99,3009900,82.634,81.094,80.457,57.367,85.95,86.15,86.15,86.15,2.507,2.949,187.156
SCCO,95,195.97,4912500,194.46,184.931,159.045,118.409,218.81,218.81,218.81,218.81,10.846,5.535,651.389
AEIS,94,254.54,820400,262.797,250.673,229.272,170.236,277.15,277.15,277.15,277.15,13.923,5.47,324.892
FIX,94,1119.81,625800,1152.972,1110.246,1024.176,751.986,1220.0,1220.0,1220.0,1220.0,53.266,4.757,381.844
SIMO,94,128.37,2090200,117.833,116.065,100.376,82.699,133.34,133.34,133.34,133.34,7.869,6.13,112.577
AAOI,93,39.9,7199700,40.474,38.195,33.999,26.35,49.11,49.11,49.11,49.11,4.898,12.275,269.97
AGX,93,354.14,647700,361.345,350.626,341.669,261.846,400.0,400.0,400.0,400.0,22.614,6.386,134.361
ATI,92,127.5,3499400,123.552,123.303,114.046,89.414,137.0,137.0,137.0,137.0,4.515,3.542,287.75
LBRT,92,24.11,15812200,23.366,21.646,19.78,14.469,27.21,27.21,27.21,27.21,1.503,6.232,160.271
HII,91,413.14,993000,421.588,412.306,362.302,287.193,436.14,436.14,436.14,436.14,13.447,3.255,215.618
DG,91,149.25,2792400,146.056,146.806,134.812,112.493,152.74,154.75,154.75,154.75,4.311,2.889,440.717
DOCN,91,57.27,3072800,57.412,55.109,50.52,37.664,64.094,64.094,64.094,64.094,3.547,6.194,239.393
MTSI,91,215.03,2498300,222.498,212.588,190.444,146.782,236.8,236.8,236.8,236.8,11.457,5.328,285.048
MRNA,91,42.77,8499100,45.777,42.492,34.406,28.845,55.2,55.2,55.2,55.2,3.089,7.223,628.976
FCX,91,61.86,31820800,61.958,60.177,52.523,44.201,69.44,69.44,69.44,69.44,2.893,4.676,1842.398
